?uri	?D_title	?D_description	?D_creator	?D_creator_identifier	?D_creator_name	?D_accrualPeriodicity	?D_identifier	?D_issued	?D_keyword	?D_theme	?D_modified	?D_publisher	?D_publisher_identifier	?D_publisher_name	?D_rightsHolder	?D_rightsHolder_identifier	?D_rightsHolder_name	?D_spatial	?D_language	?D_contactPoint	?D_contactPoint_fn_	?D_contactPoint_hasEmail	?D_distribution	?D_landingPage
<http://dati.comune.matera.it/dataset/43067fc7-2316-4787-925a-98f4ce6f3b78>	"Casini del territorio comunale di Matera"	"Elenco geolocalizzato dei Casini dislocati sul territorio comunale della città di Matera con link alla scheda descrittiva e materiale fotografico. \r\n\r\n\r\nSu questa [__MAPPA__](https://umap.geonue.com/it/map/catasto-beni-culturali-del-comune-di-matera_737#15/40.6651/16.6140) sono presenti posizioni geografiche ed i link per il download dei documenti tecnici.\r\n"	_:B41fd28cbee6566d883575d10cbd2862e	"c_f052"	"Ufficio Statistica"	<http://publications.europa.eu/resource/authority/frequency/IRREG>	"casini-del-territorio-comunale-di-matera "	"2018-03-28T08:34:33.893649"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"beni culturali"	<http://publications.europa.eu/resource/authority/data-theme/REGI>	"2018-03-28T00:00:00"^^<http://www.w3.org/2001/XMLSchema#dateTime>	_:Ba0319c62ba861983e8c0faeef6f0ef2f	"c_f052"	"Redazione OD"	_:B106566032f30fd1438430e01c7500ba6	"c_f052"	"Comune di Matera"	_:B55674f1be027168b8b84849e00415d53	<http://publications.europa.eu/resource/authority/language/ITA>	<http://dati.comune.matera.it/organization/38c8716e-d50a-4b98-b3d9-cb725b306415>	"comunedimatera"	<file:///Users/bubu/Work/Experiment/CasaDelleTecnologie/PreparingDCATtoCVS/ckan@piersoft.it>	<http://dati.comune.matera.it/dataset/43067fc7-2316-4787-925a-98f4ce6f3b78/resource/215cb552-a1b6-44ff-ac5c-5243035fceda>	<http://dati.comune.matera.it/dataset/casini-del-territorio-comunale-di-matera>
<http://dati.comune.matera.it/dataset/43067fc7-2316-4787-925a-98f4ce6f3b78>	"Casini del territorio comunale di Matera"	"Elenco geolocalizzato dei Casini dislocati sul territorio comunale della città di Matera con link alla scheda descrittiva e materiale fotografico. \r\n\r\n\r\nSu questa [__MAPPA__](https://umap.geonue.com/it/map/catasto-beni-culturali-del-comune-di-matera_737#15/40.6651/16.6140) sono presenti posizioni geografiche ed i link per il download dei documenti tecnici.\r\n"	_:B41fd28cbee6566d883575d10cbd2862e	"c_f052"	"Ufficio Statistica"	<http://publications.europa.eu/resource/authority/frequency/IRREG>	"casini-del-territorio-comunale-di-matera "	"2018-03-28T08:34:33.893649"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"beni culturali"	<http://publications.europa.eu/resource/authority/data-theme/REGI>	"2018-03-28T00:00:00"^^<http://www.w3.org/2001/XMLSchema#dateTime>	_:Ba0319c62ba861983e8c0faeef6f0ef2f	"c_f052"	"Redazione OD"	_:B106566032f30fd1438430e01c7500ba6	"c_f052"	"Comune di Matera"	_:B55674f1be027168b8b84849e00415d53	<http://publications.europa.eu/resource/authority/language/ITA>	<http://dati.comune.matera.it/organization/38c8716e-d50a-4b98-b3d9-cb725b306415>	"comunedimatera"	<file:///Users/bubu/Work/Experiment/CasaDelleTecnologie/PreparingDCATtoCVS/ckan@piersoft.it>	<http://dati.comune.matera.it/dataset/43067fc7-2316-4787-925a-98f4ce6f3b78/resource/aa2cfb19-b645-4ac0-802d-a6be6602343b>	<http://dati.comune.matera.it/dataset/casini-del-territorio-comunale-di-matera>
<http://dati.comune.matera.it/dataset/43067fc7-2316-4787-925a-98f4ce6f3b78>	"Casini del territorio comunale di Matera"	"Elenco geolocalizzato dei Casini dislocati sul territorio comunale della città di Matera con link alla scheda descrittiva e materiale fotografico. \r\n\r\n\r\nSu questa [__MAPPA__](https://umap.geonue.com/it/map/catasto-beni-culturali-del-comune-di-matera_737#15/40.6651/16.6140) sono presenti posizioni geografiche ed i link per il download dei documenti tecnici.\r\n"	_:B41fd28cbee6566d883575d10cbd2862e	"c_f052"	"Ufficio Statistica"	<http://publications.europa.eu/resource/authority/frequency/IRREG>	"casini-del-territorio-comunale-di-matera "	"2018-03-28T08:34:33.893649"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"beni culturali"	<http://publications.europa.eu/resource/authority/data-theme/EDUC>	"2018-03-28T00:00:00"^^<http://www.w3.org/2001/XMLSchema#dateTime>	_:Ba0319c62ba861983e8c0faeef6f0ef2f	"c_f052"	"Redazione OD"	_:B106566032f30fd1438430e01c7500ba6	"c_f052"	"Comune di Matera"	_:B55674f1be027168b8b84849e00415d53	<http://publications.europa.eu/resource/authority/language/ITA>	<http://dati.comune.matera.it/organization/38c8716e-d50a-4b98-b3d9-cb725b306415>	"comunedimatera"	<file:///Users/bubu/Work/Experiment/CasaDelleTecnologie/PreparingDCATtoCVS/ckan@piersoft.it>	<http://dati.comune.matera.it/dataset/43067fc7-2316-4787-925a-98f4ce6f3b78/resource/215cb552-a1b6-44ff-ac5c-5243035fceda>	<http://dati.comune.matera.it/dataset/casini-del-territorio-comunale-di-matera>
<http://dati.comune.matera.it/dataset/43067fc7-2316-4787-925a-98f4ce6f3b78>	"Casini del territorio comunale di Matera"	"Elenco geolocalizzato dei Casini dislocati sul territorio comunale della città di Matera con link alla scheda descrittiva e materiale fotografico. \r\n\r\n\r\nSu questa [__MAPPA__](https://umap.geonue.com/it/map/catasto-beni-culturali-del-comune-di-matera_737#15/40.6651/16.6140) sono presenti posizioni geografiche ed i link per il download dei documenti tecnici.\r\n"	_:B41fd28cbee6566d883575d10cbd2862e	"c_f052"	"Ufficio Statistica"	<http://publications.europa.eu/resource/authority/frequency/IRREG>	"casini-del-territorio-comunale-di-matera "	"2018-03-28T08:34:33.893649"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"beni culturali"	<http://publications.europa.eu/resource/authority/data-theme/EDUC>	"2018-03-28T00:00:00"^^<http://www.w3.org/2001/XMLSchema#dateTime>	_:Ba0319c62ba861983e8c0faeef6f0ef2f	"c_f052"	"Redazione OD"	_:B106566032f30fd1438430e01c7500ba6	"c_f052"	"Comune di Matera"	_:B55674f1be027168b8b84849e00415d53	<http://publications.europa.eu/resource/authority/language/ITA>	<http://dati.comune.matera.it/organization/38c8716e-d50a-4b98-b3d9-cb725b306415>	"comunedimatera"	<file:///Users/bubu/Work/Experiment/CasaDelleTecnologie/PreparingDCATtoCVS/ckan@piersoft.it>	<http://dati.comune.matera.it/dataset/43067fc7-2316-4787-925a-98f4ce6f3b78/resource/aa2cfb19-b645-4ac0-802d-a6be6602343b>	<http://dati.comune.matera.it/dataset/casini-del-territorio-comunale-di-matera>
<http://dati.comune.matera.it/dataset/43067fc7-2316-4787-925a-98f4ce6f3b78>	"Casini del territorio comunale di Matera"	"Elenco geolocalizzato dei Casini dislocati sul territorio comunale della città di Matera con link alla scheda descrittiva e materiale fotografico. \r\n\r\n\r\nSu questa [__MAPPA__](https://umap.geonue.com/it/map/catasto-beni-culturali-del-comune-di-matera_737#15/40.6651/16.6140) sono presenti posizioni geografiche ed i link per il download dei documenti tecnici.\r\n"	_:B41fd28cbee6566d883575d10cbd2862e	"c_f052"	"Ufficio Statistica"	<http://publications.europa.eu/resource/authority/frequency/IRREG>	"casini-del-territorio-comunale-di-matera "	"2018-03-28T08:34:33.893649"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"statistica"	<http://publications.europa.eu/resource/authority/data-theme/REGI>	"2018-03-28T00:00:00"^^<http://www.w3.org/2001/XMLSchema#dateTime>	_:Ba0319c62ba861983e8c0faeef6f0ef2f	"c_f052"	"Redazione OD"	_:B106566032f30fd1438430e01c7500ba6	"c_f052"	"Comune di Matera"	_:B55674f1be027168b8b84849e00415d53	<http://publications.europa.eu/resource/authority/language/ITA>	<http://dati.comune.matera.it/organization/38c8716e-d50a-4b98-b3d9-cb725b306415>	"comunedimatera"	<file:///Users/bubu/Work/Experiment/CasaDelleTecnologie/PreparingDCATtoCVS/ckan@piersoft.it>	<http://dati.comune.matera.it/dataset/43067fc7-2316-4787-925a-98f4ce6f3b78/resource/215cb552-a1b6-44ff-ac5c-5243035fceda>	<http://dati.comune.matera.it/dataset/casini-del-territorio-comunale-di-matera>
<http://dati.comune.matera.it/dataset/43067fc7-2316-4787-925a-98f4ce6f3b78>	"Casini del territorio comunale di Matera"	"Elenco geolocalizzato dei Casini dislocati sul territorio comunale della città di Matera con link alla scheda descrittiva e materiale fotografico. \r\n\r\n\r\nSu questa [__MAPPA__](https://umap.geonue.com/it/map/catasto-beni-culturali-del-comune-di-matera_737#15/40.6651/16.6140) sono presenti posizioni geografiche ed i link per il download dei documenti tecnici.\r\n"	_:B41fd28cbee6566d883575d10cbd2862e	"c_f052"	"Ufficio Statistica"	<http://publications.europa.eu/resource/authority/frequency/IRREG>	"casini-del-territorio-comunale-di-matera "	"2018-03-28T08:34:33.893649"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"statistica"	<http://publications.europa.eu/resource/authority/data-theme/REGI>	"2018-03-28T00:00:00"^^<http://www.w3.org/2001/XMLSchema#dateTime>	_:Ba0319c62ba861983e8c0faeef6f0ef2f	"c_f052"	"Redazione OD"	_:B106566032f30fd1438430e01c7500ba6	"c_f052"	"Comune di Matera"	_:B55674f1be027168b8b84849e00415d53	<http://publications.europa.eu/resource/authority/language/ITA>	<http://dati.comune.matera.it/organization/38c8716e-d50a-4b98-b3d9-cb725b306415>	"comunedimatera"	<file:///Users/bubu/Work/Experiment/CasaDelleTecnologie/PreparingDCATtoCVS/ckan@piersoft.it>	<http://dati.comune.matera.it/dataset/43067fc7-2316-4787-925a-98f4ce6f3b78/resource/aa2cfb19-b645-4ac0-802d-a6be6602343b>	<http://dati.comune.matera.it/dataset/casini-del-territorio-comunale-di-matera>
<http://dati.comune.matera.it/dataset/43067fc7-2316-4787-925a-98f4ce6f3b78>	"Casini del territorio comunale di Matera"	"Elenco geolocalizzato dei Casini dislocati sul territorio comunale della città di Matera con link alla scheda descrittiva e materiale fotografico. \r\n\r\n\r\nSu questa [__MAPPA__](https://umap.geonue.com/it/map/catasto-beni-culturali-del-comune-di-matera_737#15/40.6651/16.6140) sono presenti posizioni geografiche ed i link per il download dei documenti tecnici.\r\n"	_:B41fd28cbee6566d883575d10cbd2862e	"c_f052"	"Ufficio Statistica"	<http://publications.europa.eu/resource/authority/frequency/IRREG>	"casini-del-territorio-comunale-di-matera "	"2018-03-28T08:34:33.893649"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"statistica"	<http://publications.europa.eu/resource/authority/data-theme/EDUC>	"2018-03-28T00:00:00"^^<http://www.w3.org/2001/XMLSchema#dateTime>	_:Ba0319c62ba861983e8c0faeef6f0ef2f	"c_f052"	"Redazione OD"	_:B106566032f30fd1438430e01c7500ba6	"c_f052"	"Comune di Matera"	_:B55674f1be027168b8b84849e00415d53	<http://publications.europa.eu/resource/authority/language/ITA>	<http://dati.comune.matera.it/organization/38c8716e-d50a-4b98-b3d9-cb725b306415>	"comunedimatera"	<file:///Users/bubu/Work/Experiment/CasaDelleTecnologie/PreparingDCATtoCVS/ckan@piersoft.it>	<http://dati.comune.matera.it/dataset/43067fc7-2316-4787-925a-98f4ce6f3b78/resource/215cb552-a1b6-44ff-ac5c-5243035fceda>	<http://dati.comune.matera.it/dataset/casini-del-territorio-comunale-di-matera>
<http://dati.comune.matera.it/dataset/43067fc7-2316-4787-925a-98f4ce6f3b78>	"Casini del territorio comunale di Matera"	"Elenco geolocalizzato dei Casini dislocati sul territorio comunale della città di Matera con link alla scheda descrittiva e materiale fotografico. \r\n\r\n\r\nSu questa [__MAPPA__](https://umap.geonue.com/it/map/catasto-beni-culturali-del-comune-di-matera_737#15/40.6651/16.6140) sono presenti posizioni geografiche ed i link per il download dei documenti tecnici.\r\n"	_:B41fd28cbee6566d883575d10cbd2862e	"c_f052"	"Ufficio Statistica"	<http://publications.europa.eu/resource/authority/frequency/IRREG>	"casini-del-territorio-comunale-di-matera "	"2018-03-28T08:34:33.893649"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"statistica"	<http://publications.europa.eu/resource/authority/data-theme/EDUC>	"2018-03-28T00:00:00"^^<http://www.w3.org/2001/XMLSchema#dateTime>	_:Ba0319c62ba861983e8c0faeef6f0ef2f	"c_f052"	"Redazione OD"	_:B106566032f30fd1438430e01c7500ba6	"c_f052"	"Comune di Matera"	_:B55674f1be027168b8b84849e00415d53	<http://publications.europa.eu/resource/authority/language/ITA>	<http://dati.comune.matera.it/organization/38c8716e-d50a-4b98-b3d9-cb725b306415>	"comunedimatera"	<file:///Users/bubu/Work/Experiment/CasaDelleTecnologie/PreparingDCATtoCVS/ckan@piersoft.it>	<http://dati.comune.matera.it/dataset/43067fc7-2316-4787-925a-98f4ce6f3b78/resource/aa2cfb19-b645-4ac0-802d-a6be6602343b>	<http://dati.comune.matera.it/dataset/casini-del-territorio-comunale-di-matera>
<http://dati.comune.matera.it/dataset/43067fc7-2316-4787-925a-98f4ce6f3b78>	"Casini del territorio comunale di Matera"	"Elenco geolocalizzato dei Casini dislocati sul territorio comunale della città di Matera con link alla scheda descrittiva e materiale fotografico. \r\n\r\n\r\nSu questa [__MAPPA__](https://umap.geonue.com/it/map/catasto-beni-culturali-del-comune-di-matera_737#15/40.6651/16.6140) sono presenti posizioni geografiche ed i link per il download dei documenti tecnici.\r\n"	_:B41fd28cbee6566d883575d10cbd2862e	"c_f052"	"Ufficio Statistica"	<http://publications.europa.eu/resource/authority/frequency/IRREG>	"casini-del-territorio-comunale-di-matera "	"2018-03-28T08:34:33.893649"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"cultura"	<http://publications.europa.eu/resource/authority/data-theme/REGI>	"2018-03-28T00:00:00"^^<http://www.w3.org/2001/XMLSchema#dateTime>	_:Ba0319c62ba861983e8c0faeef6f0ef2f	"c_f052"	"Redazione OD"	_:B106566032f30fd1438430e01c7500ba6	"c_f052"	"Comune di Matera"	_:B55674f1be027168b8b84849e00415d53	<http://publications.europa.eu/resource/authority/language/ITA>	<http://dati.comune.matera.it/organization/38c8716e-d50a-4b98-b3d9-cb725b306415>	"comunedimatera"	<file:///Users/bubu/Work/Experiment/CasaDelleTecnologie/PreparingDCATtoCVS/ckan@piersoft.it>	<http://dati.comune.matera.it/dataset/43067fc7-2316-4787-925a-98f4ce6f3b78/resource/215cb552-a1b6-44ff-ac5c-5243035fceda>	<http://dati.comune.matera.it/dataset/casini-del-territorio-comunale-di-matera>
<http://dati.comune.matera.it/dataset/43067fc7-2316-4787-925a-98f4ce6f3b78>	"Casini del territorio comunale di Matera"	"Elenco geolocalizzato dei Casini dislocati sul territorio comunale della città di Matera con link alla scheda descrittiva e materiale fotografico. \r\n\r\n\r\nSu questa [__MAPPA__](https://umap.geonue.com/it/map/catasto-beni-culturali-del-comune-di-matera_737#15/40.6651/16.6140) sono presenti posizioni geografiche ed i link per il download dei documenti tecnici.\r\n"	_:B41fd28cbee6566d883575d10cbd2862e	"c_f052"	"Ufficio Statistica"	<http://publications.europa.eu/resource/authority/frequency/IRREG>	"casini-del-territorio-comunale-di-matera "	"2018-03-28T08:34:33.893649"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"cultura"	<http://publications.europa.eu/resource/authority/data-theme/REGI>	"2018-03-28T00:00:00"^^<http://www.w3.org/2001/XMLSchema#dateTime>	_:Ba0319c62ba861983e8c0faeef6f0ef2f	"c_f052"	"Redazione OD"	_:B106566032f30fd1438430e01c7500ba6	"c_f052"	"Comune di Matera"	_:B55674f1be027168b8b84849e00415d53	<http://publications.europa.eu/resource/authority/language/ITA>	<http://dati.comune.matera.it/organization/38c8716e-d50a-4b98-b3d9-cb725b306415>	"comunedimatera"	<file:///Users/bubu/Work/Experiment/CasaDelleTecnologie/PreparingDCATtoCVS/ckan@piersoft.it>	<http://dati.comune.matera.it/dataset/43067fc7-2316-4787-925a-98f4ce6f3b78/resource/aa2cfb19-b645-4ac0-802d-a6be6602343b>	<http://dati.comune.matera.it/dataset/casini-del-territorio-comunale-di-matera>
