?uri	?D_title	?D_description	?D_creator_name	?D_accrualPeriodicity	?D_issued	?D_keyword	?D_theme	?D_modified	?D_publisher_name	?D_rightsHolder_name	?D_contactPoint_hasEmail_nonorm	?D_landingPage	?Dist_format	?Dist_license	?Dist_accessURL
<http://dati.comune.matera.it/dataset/43067fc7-2316-4787-925a-98f4ce6f3b78>	"Casini del territorio comunale di Matera"	"Elenco geolocalizzato dei Casini dislocati sul territorio comunale della città di Matera con link alla scheda descrittiva e materiale fotografico. \r\n\r\n\r\nSu questa [__MAPPA__](https://umap.geonue.com/it/map/catasto-beni-culturali-del-comune-di-matera_737#15/40.6651/16.6140) sono presenti posizioni geografiche ed i link per il download dei documenti tecnici.\r\n"	"Ufficio Statistica"	<http://publications.europa.eu/resource/authority/frequency/IRREG>	"2018-03-28T08:34:33.893649"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"beni culturali"	<http://publications.europa.eu/resource/authority/data-theme/REGI>	"2018-03-28T00:00:00"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"Redazione OD"	"Comune di Matera"	<file:///Users/bubu/Work/Experiment/CasaDelleTecnologie/CDTM-PreparingDCATtoCVS/ckan@piersoft.it>	<http://dati.comune.matera.it/dataset/casini-del-territorio-comunale-di-matera>	<http://publications.europa.eu/resource/authority/file-type/CSV>	<http://www.opendefinition.org/licenses/cc-by>	<https://docs.google.com/spreadsheets/d/e/2PACX-1vR0G0UoZ-XHjM0RperhCzCdXG198xkmdvkogcY0X5evvLgMJGyCVDttg4J9f7a8qfG8uYtGtjsX5Bw9/pub?output=csv>
<http://dati.comune.matera.it/dataset/43067fc7-2316-4787-925a-98f4ce6f3b78>	"Casini del territorio comunale di Matera"	"Elenco geolocalizzato dei Casini dislocati sul territorio comunale della città di Matera con link alla scheda descrittiva e materiale fotografico. \r\n\r\n\r\nSu questa [__MAPPA__](https://umap.geonue.com/it/map/catasto-beni-culturali-del-comune-di-matera_737#15/40.6651/16.6140) sono presenti posizioni geografiche ed i link per il download dei documenti tecnici.\r\n"	"Ufficio Statistica"	<http://publications.europa.eu/resource/authority/frequency/IRREG>	"2018-03-28T08:34:33.893649"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"beni culturali"	<http://publications.europa.eu/resource/authority/data-theme/REGI>	"2018-03-28T00:00:00"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"Redazione OD"	"Comune di Matera"	<file:///Users/bubu/Work/Experiment/CasaDelleTecnologie/CDTM-PreparingDCATtoCVS/ckan@piersoft.it>	<http://dati.comune.matera.it/dataset/casini-del-territorio-comunale-di-matera>	<http://publications.europa.eu/resource/authority/file-type/XLSX>	<http://www.opendefinition.org/licenses/cc-by>	<https://docs.google.com/spreadsheets/d/e/2PACX-1vR0G0UoZ-XHjM0RperhCzCdXG198xkmdvkogcY0X5evvLgMJGyCVDttg4J9f7a8qfG8uYtGtjsX5Bw9/pub?output=xlsx>
<http://dati.comune.matera.it/dataset/43067fc7-2316-4787-925a-98f4ce6f3b78>	"Casini del territorio comunale di Matera"	"Elenco geolocalizzato dei Casini dislocati sul territorio comunale della città di Matera con link alla scheda descrittiva e materiale fotografico. \r\n\r\n\r\nSu questa [__MAPPA__](https://umap.geonue.com/it/map/catasto-beni-culturali-del-comune-di-matera_737#15/40.6651/16.6140) sono presenti posizioni geografiche ed i link per il download dei documenti tecnici.\r\n"	"Ufficio Statistica"	<http://publications.europa.eu/resource/authority/frequency/IRREG>	"2018-03-28T08:34:33.893649"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"beni culturali"	<http://publications.europa.eu/resource/authority/data-theme/EDUC>	"2018-03-28T00:00:00"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"Redazione OD"	"Comune di Matera"	<file:///Users/bubu/Work/Experiment/CasaDelleTecnologie/CDTM-PreparingDCATtoCVS/ckan@piersoft.it>	<http://dati.comune.matera.it/dataset/casini-del-territorio-comunale-di-matera>	<http://publications.europa.eu/resource/authority/file-type/CSV>	<http://www.opendefinition.org/licenses/cc-by>	<https://docs.google.com/spreadsheets/d/e/2PACX-1vR0G0UoZ-XHjM0RperhCzCdXG198xkmdvkogcY0X5evvLgMJGyCVDttg4J9f7a8qfG8uYtGtjsX5Bw9/pub?output=csv>
<http://dati.comune.matera.it/dataset/43067fc7-2316-4787-925a-98f4ce6f3b78>	"Casini del territorio comunale di Matera"	"Elenco geolocalizzato dei Casini dislocati sul territorio comunale della città di Matera con link alla scheda descrittiva e materiale fotografico. \r\n\r\n\r\nSu questa [__MAPPA__](https://umap.geonue.com/it/map/catasto-beni-culturali-del-comune-di-matera_737#15/40.6651/16.6140) sono presenti posizioni geografiche ed i link per il download dei documenti tecnici.\r\n"	"Ufficio Statistica"	<http://publications.europa.eu/resource/authority/frequency/IRREG>	"2018-03-28T08:34:33.893649"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"beni culturali"	<http://publications.europa.eu/resource/authority/data-theme/EDUC>	"2018-03-28T00:00:00"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"Redazione OD"	"Comune di Matera"	<file:///Users/bubu/Work/Experiment/CasaDelleTecnologie/CDTM-PreparingDCATtoCVS/ckan@piersoft.it>	<http://dati.comune.matera.it/dataset/casini-del-territorio-comunale-di-matera>	<http://publications.europa.eu/resource/authority/file-type/XLSX>	<http://www.opendefinition.org/licenses/cc-by>	<https://docs.google.com/spreadsheets/d/e/2PACX-1vR0G0UoZ-XHjM0RperhCzCdXG198xkmdvkogcY0X5evvLgMJGyCVDttg4J9f7a8qfG8uYtGtjsX5Bw9/pub?output=xlsx>
<http://dati.comune.matera.it/dataset/43067fc7-2316-4787-925a-98f4ce6f3b78>	"Casini del territorio comunale di Matera"	"Elenco geolocalizzato dei Casini dislocati sul territorio comunale della città di Matera con link alla scheda descrittiva e materiale fotografico. \r\n\r\n\r\nSu questa [__MAPPA__](https://umap.geonue.com/it/map/catasto-beni-culturali-del-comune-di-matera_737#15/40.6651/16.6140) sono presenti posizioni geografiche ed i link per il download dei documenti tecnici.\r\n"	"Ufficio Statistica"	<http://publications.europa.eu/resource/authority/frequency/IRREG>	"2018-03-28T08:34:33.893649"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"statistica"	<http://publications.europa.eu/resource/authority/data-theme/REGI>	"2018-03-28T00:00:00"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"Redazione OD"	"Comune di Matera"	<file:///Users/bubu/Work/Experiment/CasaDelleTecnologie/CDTM-PreparingDCATtoCVS/ckan@piersoft.it>	<http://dati.comune.matera.it/dataset/casini-del-territorio-comunale-di-matera>	<http://publications.europa.eu/resource/authority/file-type/CSV>	<http://www.opendefinition.org/licenses/cc-by>	<https://docs.google.com/spreadsheets/d/e/2PACX-1vR0G0UoZ-XHjM0RperhCzCdXG198xkmdvkogcY0X5evvLgMJGyCVDttg4J9f7a8qfG8uYtGtjsX5Bw9/pub?output=csv>
<http://dati.comune.matera.it/dataset/43067fc7-2316-4787-925a-98f4ce6f3b78>	"Casini del territorio comunale di Matera"	"Elenco geolocalizzato dei Casini dislocati sul territorio comunale della città di Matera con link alla scheda descrittiva e materiale fotografico. \r\n\r\n\r\nSu questa [__MAPPA__](https://umap.geonue.com/it/map/catasto-beni-culturali-del-comune-di-matera_737#15/40.6651/16.6140) sono presenti posizioni geografiche ed i link per il download dei documenti tecnici.\r\n"	"Ufficio Statistica"	<http://publications.europa.eu/resource/authority/frequency/IRREG>	"2018-03-28T08:34:33.893649"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"statistica"	<http://publications.europa.eu/resource/authority/data-theme/REGI>	"2018-03-28T00:00:00"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"Redazione OD"	"Comune di Matera"	<file:///Users/bubu/Work/Experiment/CasaDelleTecnologie/CDTM-PreparingDCATtoCVS/ckan@piersoft.it>	<http://dati.comune.matera.it/dataset/casini-del-territorio-comunale-di-matera>	<http://publications.europa.eu/resource/authority/file-type/XLSX>	<http://www.opendefinition.org/licenses/cc-by>	<https://docs.google.com/spreadsheets/d/e/2PACX-1vR0G0UoZ-XHjM0RperhCzCdXG198xkmdvkogcY0X5evvLgMJGyCVDttg4J9f7a8qfG8uYtGtjsX5Bw9/pub?output=xlsx>
<http://dati.comune.matera.it/dataset/43067fc7-2316-4787-925a-98f4ce6f3b78>	"Casini del territorio comunale di Matera"	"Elenco geolocalizzato dei Casini dislocati sul territorio comunale della città di Matera con link alla scheda descrittiva e materiale fotografico. \r\n\r\n\r\nSu questa [__MAPPA__](https://umap.geonue.com/it/map/catasto-beni-culturali-del-comune-di-matera_737#15/40.6651/16.6140) sono presenti posizioni geografiche ed i link per il download dei documenti tecnici.\r\n"	"Ufficio Statistica"	<http://publications.europa.eu/resource/authority/frequency/IRREG>	"2018-03-28T08:34:33.893649"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"statistica"	<http://publications.europa.eu/resource/authority/data-theme/EDUC>	"2018-03-28T00:00:00"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"Redazione OD"	"Comune di Matera"	<file:///Users/bubu/Work/Experiment/CasaDelleTecnologie/CDTM-PreparingDCATtoCVS/ckan@piersoft.it>	<http://dati.comune.matera.it/dataset/casini-del-territorio-comunale-di-matera>	<http://publications.europa.eu/resource/authority/file-type/CSV>	<http://www.opendefinition.org/licenses/cc-by>	<https://docs.google.com/spreadsheets/d/e/2PACX-1vR0G0UoZ-XHjM0RperhCzCdXG198xkmdvkogcY0X5evvLgMJGyCVDttg4J9f7a8qfG8uYtGtjsX5Bw9/pub?output=csv>
<http://dati.comune.matera.it/dataset/43067fc7-2316-4787-925a-98f4ce6f3b78>	"Casini del territorio comunale di Matera"	"Elenco geolocalizzato dei Casini dislocati sul territorio comunale della città di Matera con link alla scheda descrittiva e materiale fotografico. \r\n\r\n\r\nSu questa [__MAPPA__](https://umap.geonue.com/it/map/catasto-beni-culturali-del-comune-di-matera_737#15/40.6651/16.6140) sono presenti posizioni geografiche ed i link per il download dei documenti tecnici.\r\n"	"Ufficio Statistica"	<http://publications.europa.eu/resource/authority/frequency/IRREG>	"2018-03-28T08:34:33.893649"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"statistica"	<http://publications.europa.eu/resource/authority/data-theme/EDUC>	"2018-03-28T00:00:00"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"Redazione OD"	"Comune di Matera"	<file:///Users/bubu/Work/Experiment/CasaDelleTecnologie/CDTM-PreparingDCATtoCVS/ckan@piersoft.it>	<http://dati.comune.matera.it/dataset/casini-del-territorio-comunale-di-matera>	<http://publications.europa.eu/resource/authority/file-type/XLSX>	<http://www.opendefinition.org/licenses/cc-by>	<https://docs.google.com/spreadsheets/d/e/2PACX-1vR0G0UoZ-XHjM0RperhCzCdXG198xkmdvkogcY0X5evvLgMJGyCVDttg4J9f7a8qfG8uYtGtjsX5Bw9/pub?output=xlsx>
<http://dati.comune.matera.it/dataset/43067fc7-2316-4787-925a-98f4ce6f3b78>	"Casini del territorio comunale di Matera"	"Elenco geolocalizzato dei Casini dislocati sul territorio comunale della città di Matera con link alla scheda descrittiva e materiale fotografico. \r\n\r\n\r\nSu questa [__MAPPA__](https://umap.geonue.com/it/map/catasto-beni-culturali-del-comune-di-matera_737#15/40.6651/16.6140) sono presenti posizioni geografiche ed i link per il download dei documenti tecnici.\r\n"	"Ufficio Statistica"	<http://publications.europa.eu/resource/authority/frequency/IRREG>	"2018-03-28T08:34:33.893649"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"cultura"	<http://publications.europa.eu/resource/authority/data-theme/REGI>	"2018-03-28T00:00:00"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"Redazione OD"	"Comune di Matera"	<file:///Users/bubu/Work/Experiment/CasaDelleTecnologie/CDTM-PreparingDCATtoCVS/ckan@piersoft.it>	<http://dati.comune.matera.it/dataset/casini-del-territorio-comunale-di-matera>	<http://publications.europa.eu/resource/authority/file-type/CSV>	<http://www.opendefinition.org/licenses/cc-by>	<https://docs.google.com/spreadsheets/d/e/2PACX-1vR0G0UoZ-XHjM0RperhCzCdXG198xkmdvkogcY0X5evvLgMJGyCVDttg4J9f7a8qfG8uYtGtjsX5Bw9/pub?output=csv>
<http://dati.comune.matera.it/dataset/43067fc7-2316-4787-925a-98f4ce6f3b78>	"Casini del territorio comunale di Matera"	"Elenco geolocalizzato dei Casini dislocati sul territorio comunale della città di Matera con link alla scheda descrittiva e materiale fotografico. \r\n\r\n\r\nSu questa [__MAPPA__](https://umap.geonue.com/it/map/catasto-beni-culturali-del-comune-di-matera_737#15/40.6651/16.6140) sono presenti posizioni geografiche ed i link per il download dei documenti tecnici.\r\n"	"Ufficio Statistica"	<http://publications.europa.eu/resource/authority/frequency/IRREG>	"2018-03-28T08:34:33.893649"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"cultura"	<http://publications.europa.eu/resource/authority/data-theme/REGI>	"2018-03-28T00:00:00"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"Redazione OD"	"Comune di Matera"	<file:///Users/bubu/Work/Experiment/CasaDelleTecnologie/CDTM-PreparingDCATtoCVS/ckan@piersoft.it>	<http://dati.comune.matera.it/dataset/casini-del-territorio-comunale-di-matera>	<http://publications.europa.eu/resource/authority/file-type/XLSX>	<http://www.opendefinition.org/licenses/cc-by>	<https://docs.google.com/spreadsheets/d/e/2PACX-1vR0G0UoZ-XHjM0RperhCzCdXG198xkmdvkogcY0X5evvLgMJGyCVDttg4J9f7a8qfG8uYtGtjsX5Bw9/pub?output=xlsx>
